" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
7/10/2019 11:00,0.013
7/10/2019 12:00,0.009
7/10/2019 13:00,0.007
7/10/2019 14:00,0.006
7/10/2019 15:00,0.005
7/10/2019 16:00,0.003
7/10/2019 17:00,0.002
7/10/2019 18:00,0.002
7/10/2019 19:00,0
7/10/2019 20:00,0
7/10/2019 21:00,0
7/10/2019 22:00,0.001
7/10/2019 23:00,0.013
7/11/2019 0:00,0.051
7/11/2019 1:00,0.106
7/11/2019 2:00,0.129
7/11/2019 3:00,0.105
7/11/2019 4:00,0.079
7/11/2019 5:00,0.071
7/11/2019 6:00,0.024
7/11/2019 7:00,0.017
7/11/2019 8:00,0.025
7/11/2019 9:00,0.02
7/11/2019 10:00,0.015
7/11/2019 11:00,0.011
7/11/2019 12:00,0.006
7/11/2019 13:00,0.004
7/11/2019 14:00,0.002
7/11/2019 15:00,0.001
7/11/2019 16:00,0
7/11/2019 17:00,0
7/11/2019 18:00,0
7/11/2019 19:00,0
7/11/2019 20:00,0
7/11/2019 21:00,0.002
7/11/2019 22:00,0.018
7/11/2019 23:00,0.107
7/12/2019 0:00,0.209
7/12/2019 1:00,0.231
7/12/2019 2:00,0.163
7/12/2019 3:00,0.142
7/12/2019 4:00,0.137
7/12/2019 5:00,0.102
7/12/2019 6:00,0.038
7/12/2019 7:00,0.052
7/12/2019 8:00,0.113
7/12/2019 9:00,0.108
7/12/2019 10:00,0.075
7/12/2019 11:00,0.06
7/12/2019 12:00,0.062
7/12/2019 13:00,0.073
7/12/2019 14:00,0.085
7/12/2019 15:00,0.1
7/12/2019 16:00,0.131
7/12/2019 17:00,0.178
7/12/2019 18:00,0.169
7/12/2019 19:00,0.225
7/12/2019 20:00,0.337
7/12/2019 21:00,0.284
7/12/2019 22:00,0.234
7/12/2019 23:00,0.204
7/13/2019 0:00,0.161
7/13/2019 1:00,0.124
7/13/2019 2:00,0.107
7/13/2019 3:00,0.097
7/13/2019 4:00,0.102
7/13/2019 5:00,0.116
7/13/2019 6:00,0.063
7/13/2019 7:00,0.168
7/13/2019 8:00,0.261
7/13/2019 9:00,0.335
7/13/2019 10:00,0.359
7/13/2019 11:00,0.41
7/13/2019 12:00,0.507
7/13/2019 13:00,0.519
7/13/2019 14:00,0.46
7/13/2019 15:00,0.427
7/13/2019 16:00,0.394
7/13/2019 17:00,0.303
7/13/2019 18:00,0.176
7/13/2019 19:00,0.128
7/13/2019 20:00,0.101
7/13/2019 21:00,0.108
7/13/2019 22:00,0.128
7/13/2019 23:00,0.144
7/14/2019 0:00,0.147
7/14/2019 1:00,0.137
7/14/2019 2:00,0.12
7/14/2019 3:00,0.112
7/14/2019 4:00,0.112
7/14/2019 5:00,0.121
7/14/2019 6:00,0.104
7/14/2019 7:00,0.034
7/14/2019 8:00,0.002
7/14/2019 9:00,0.033
7/14/2019 10:00,0.074
7/14/2019 11:00,0.064
7/14/2019 12:00,0.068
7/14/2019 13:00,0.091
7/14/2019 14:00,0.097
7/14/2019 15:00,0.072
7/14/2019 16:00,0.058
7/14/2019 17:00,0.038
7/14/2019 18:00,0.012
7/14/2019 19:00,0.002
7/14/2019 20:00,0
7/14/2019 21:00,0.001
7/14/2019 22:00,0.022
7/14/2019 23:00,0.092
7/15/2019 0:00,0.183
7/15/2019 1:00,0.213
7/15/2019 2:00,0.199
7/15/2019 3:00,0.168
7/15/2019 4:00,0.148
7/15/2019 5:00,0.157
7/15/2019 6:00,0.139
7/15/2019 7:00,0.059
7/15/2019 8:00,0.018
7/15/2019 9:00,0.052
7/15/2019 10:00,0.139
7/15/2019 11:00,0.144
7/15/2019 12:00,0.145
7/15/2019 13:00,0.14
7/15/2019 14:00,0.125
7/15/2019 15:00,0.134
7/15/2019 16:00,0.157
7/15/2019 17:00,0.163
7/15/2019 18:00,0.129
7/15/2019 19:00,0.172
7/15/2019 20:00,0.294
7/15/2019 21:00,0.317
7/15/2019 22:00,0.284
7/15/2019 23:00,0.25
7/16/2019 0:00,0.217
7/16/2019 1:00,0.179
7/16/2019 2:00,0.152
7/16/2019 3:00,0.138
7/16/2019 4:00,0.144
7/16/2019 5:00,0.168
7/16/2019 6:00,0.121
7/16/2019 7:00,0.037
7/16/2019 8:00,0.106
7/16/2019 9:00,0.219
7/16/2019 10:00,0.291
7/16/2019 11:00,0.337
7/16/2019 12:00,0.388
7/16/2019 13:00,0.438
7/16/2019 14:00,0.458
7/16/2019 15:00,0.433
7/16/2019 16:00,0.39
7/16/2019 17:00,0.344
7/16/2019 18:00,0.261
7/16/2019 19:00,0.263
7/16/2019 20:00,0.309
7/16/2019 21:00,0.304
7/16/2019 22:00,0.276
7/16/2019 23:00,0.213
7/17/2019 0:00,0.167
7/17/2019 1:00,0.141
7/17/2019 2:00,0.133
7/17/2019 3:00,0.124
7/17/2019 4:00,0.137
7/17/2019 5:00,0.151
7/17/2019 6:00,0.094
7/17/2019 7:00,0.053
7/17/2019 8:00,0.195
7/17/2019 9:00,0.264
7/17/2019 10:00,0.265
7/17/2019 11:00,0.241
7/17/2019 12:00,0.213
7/17/2019 13:00,0.187
7/17/2019 14:00,0.164
7/17/2019 15:00,0.146
7/17/2019 16:00,0.126
7/17/2019 17:00,0.1
7/17/2019 18:00,0.055
7/17/2019 19:00,0.043
7/17/2019 20:00,0.045
7/17/2019 21:00,0.039
7/17/2019 22:00,0.031
7/17/2019 23:00,0.026
7/18/2019 0:00,0.031
7/18/2019 1:00,0.048
7/18/2019 2:00,0.074
7/18/2019 3:00,0.107
7/18/2019 4:00,0.124
7/18/2019 5:00,0.103
7/18/2019 6:00,0.05
7/18/2019 7:00,0.002
7/18/2019 8:00,0.018
7/18/2019 9:00,0.075
7/18/2019 10:00,0.097
7/18/2019 11:00,0.093
7/18/2019 12:00,0.083
7/18/2019 13:00,0.068
7/18/2019 14:00,0.054
7/18/2019 15:00,0.04
7/18/2019 16:00,0.027
7/18/2019 17:00,0.026
7/18/2019 18:00,0.019
7/18/2019 19:00,0.028
7/18/2019 20:00,0.043
7/18/2019 21:00,0.049
7/18/2019 22:00,0.059
7/18/2019 23:00,0.084
7/19/2019 0:00,0.115
7/19/2019 1:00,0.139
7/19/2019 2:00,0.152
7/19/2019 3:00,0.14
7/19/2019 4:00,0.108
7/19/2019 5:00,0.082
7/19/2019 6:00,0.025
7/19/2019 7:00,0
7/19/2019 8:00,0.006
7/19/2019 9:00,0.02
7/19/2019 10:00,0.011
7/19/2019 11:00,0.005
7/19/2019 12:00,0.004
7/19/2019 13:00,0.005
7/19/2019 14:00,0.008
7/19/2019 15:00,0.015
7/19/2019 16:00,0.016
7/19/2019 17:00,0.008
7/19/2019 18:00,0.001
7/19/2019 19:00,0
7/19/2019 20:00,0.009
7/19/2019 21:00,0.03
7/19/2019 22:00,0.024
7/19/2019 23:00,0.03
7/20/2019 0:00,0.044
7/20/2019 1:00,0.051
7/20/2019 2:00,0.057
7/20/2019 3:00,0.065
7/20/2019 4:00,0.058
7/20/2019 5:00,0.047
7/20/2019 6:00,0.02
7/20/2019 7:00,0.002
7/20/2019 8:00,0.013
7/20/2019 9:00,0.01
7/20/2019 10:00,0.009
7/20/2019 11:00,0.004
7/20/2019 12:00,0.001
7/20/2019 13:00,0
7/20/2019 14:00,0
7/20/2019 15:00,0
7/20/2019 16:00,0.011
7/20/2019 17:00,0.041
7/20/2019 18:00,0.051
7/20/2019 19:00,0.07
7/20/2019 20:00,0.08
7/20/2019 21:00,0.063
7/20/2019 22:00,0.064
7/20/2019 23:00,0.082
7/21/2019 0:00,0.104
7/21/2019 1:00,0.119
7/21/2019 2:00,0.115
7/21/2019 3:00,0.102
7/21/2019 4:00,0.086
7/21/2019 5:00,0.086
7/21/2019 6:00,0.061
7/21/2019 7:00,0.025
7/21/2019 8:00,0.043
